MaintPlant,TAG,FunctLocCat.,Description,SupFunctLoc.,Location,System,ABC Indic.,System status,User status
1350,"1350-1,5-GN-545-0-329-CC93",P,DRAIN MOTOR GAS INLET VALVES METERING,1350-545-PIPING,T38-METR,545,2,CRTE,INSV
1350,"1350-1,5-GN-545-0-331-CC93",P,DRAIN MOTOR GAS OUTLET VALVES METERING,1350-545-PIPING,T38-METR,545,2,CRTE,INSV
1350,"1350-1,5-GN-545-0-357-CC93",P,SUPPLY 527HV1300,1350-545-PIPING,T38-METR_1,545,3,CRTE,INSV
1350,"1350-1,5-GN-545-0-359-CC93",P,SUPPLY 527HV2300,1350-545-PIPING,T38-METR_2,545,3,CRTE,INSV
1350,"1350-1,5-GN-545-0-361-CC93",P,SUPPLY 527HV3300,1350-545-PIPING,T38-METR_3,545,3,CRTE,INSV
1350,"1350-1,5-WG-554-0-327-FC11",P,BYPASS 554FV0301,1350-554-PIPING,T38-UTIL,554,2,CRTE,INSV
1350,1350-1-AP-563-0-329-GG12,P,FROM 563KB300B TO OIL-WATER SEPERATOR,1350-563-PIPING,T38-UTIL,563,1,CRTE,INSV
1350,1350-1-FO-571-0-301-AC02,P,INLET 571PA303B,1350-571-PIPING,T38-FWPS,571,2,CRTE,INSV
1350,1350-12-GN-525-0-303-DC91,P,KICKER LINE,1350-525-PIPING,T38-PIG,525,3,CRTE,INSV
1350,1350-577-GE-0658,R,REGISTER INLET EXTRACTION FAN 1 LVS,1350-577-GK-0651,T39-LVS,577,4,CRTE,INSV
